station,lat,lon,RUBISCO,PEPC,GOT,PEPCK,MDH_NAD,MDH_NADP,MDC_NADP,MDC_NAD,GPT_GGAT,PEPDK
112,-23.2811,-129.3947,3.9651469589933975e-6,6.371052488478463e-5,9.06187935005747e-5,2.0016422813253223e-5,8.329423248104744e-5,0,7.307766300413687e-5,9.90993633589812e-6,7.799870005924918e-5,9.6089622481877e-6
113,-23.1108,-134.9327,4.934110847234169e-5,1.2321352423811668e-4,1.0148636792947722e-4,1.3356991289369745e-5,1.259424889015668e-4,2.2466736177026438e-5,1.3731384071623314e-4,8.997718740704034e-6,1.6148410181731918e-4,8.867552987873154e-5
122,-8.9971,-139.1963,2.2865695030034862e-6,2.9548741862413653e-4,5.9831124326408764e-5,2.6775489686047198e-5,2.228655472791823e-4,6.016197331748284e-6,2.3195275181412057e-4,2.2334318691911634e-4,8.196825858208993e-5,1.1800630688330915e-5
123,-8.9068,-140.283,3.58705400576408e-5,1.6432714971097363e-4,1.2405384245839943e-4,2.1836524455541606e-5,1.7318047826002974e-4,3.6182342883601497e-5,1.270298635350035e-4,7.250677914202233e-5,1.2571053661475067e-4,7.57461788429961e-5
124,-9.1504,-140.5216,8.673937766093318e-6,4.0356370001921497e-4,6.227619330657761e-5,1.9562432958393753e-5,2.730316033983225e-4,1.2787261911119442e-5,2.792967111413817e-4,2.558011030949587e-4,9.413110882398393e-5,2.533101010400138e-5
125,-8.9111,-142.5571,6.990774736566777e-7,1.7173060246267603e-4,1.4324763148080614e-4,2.7723173478860467e-5,1.2238238720351432e-4,4.949475812375339e-6,1.637981183180974e-4,1.4772152604068266e-4,6.22515749232664e-5,5.713908400544622e-6
126,-11.9873,-151.05,1.047820310220027e-6,4.7797290166686716e-4,5.798017399104005e-5,2.3566389145788612e-5,3.223055651084842e-4,1.913764156937767e-5,3.693109202888194e-4,3.255804359186007e-4,8.980778448691902e-5,1.4590225186354719e-5
127,-6.6499,-152.4243,2.0660389410852135e-6,2.4108787362570706e-4,8.902431176964625e-5,3.3771931646842374e-5,1.4909835141356073e-4,1.1067943431421955e-5,1.4738462002979655e-4,1.1294174537288492e-4,1.0140284460308584e-4,1.7857953711419512e-5
128,3e-4,-153.6759,1.6598905018267685e-6,2.735580765710205e-4,9.42745414397448e-5,2.5316508082957186e-5,2.1592255017693066e-4,8.678204307027546e-6,2.963286971629303e-4,2.71121890741489e-4,6.875429063090527e-5,1.7138932253551222e-5
129,6.671,-153.0658,5.6140138010135995e-6,1.7034122215256375e-4,1.0205524082514495e-4,2.7918340761358722e-5,1.1982415171116415e-4,1.1760497135987667e-5,1.236398663154525e-4,7.369285767270734e-5,1.0814179368129436e-4,2.6834109454783674e-5
130,11.2723,-152.3711,2.725380984386421e-6,9.408080976186125e-5,1.239521060827945e-4,1.240595589505426e-5,4.828710663886358e-5,1.1432491221161207e-5,3.636149587867017e-5,3.611432484011916e-6,4.741136652237808e-5,1.1767868964838083e-5
131,22.7598,-157.9568,7.923941436328476e-6,9.221522817871037e-5,1.0346101491215245e-4,2.601580178033891e-5,6.497510818300029e-5,2.437039767061344e-6,4.5155781626201775e-5,5.0510750077297344e-6,7.693311707949515e-5,5.9842557630327355e-6
132,31.5213,-158.9958,1.4669737525515658e-6,4.128400279590808e-5,8.137795561736809e-5,1.751699908949871e-5,5.0494451835001964e-5,0,2.8005584181746224e-5,0,5.875701122022001e-5,5.096721951019693e-6
133,35.2698,-127.7268,1.3521284469331267e-4,1.2780044796578772e-4,6.380383640357238e-5,1.91295480383137e-5,1.065117766387135e-4,2.251298094317731e-5,1.2791726898181565e-4,8.61378239490302e-5,8.63798312887173e-5,7.539610453907964e-5
134,32.7526,-122.0013,1.3928137415014226e-4,1.1055646272440697e-4,1.0935008748846511e-4,2.4421731279043317e-5,1.2739240408689788e-4,1.9861009180046417e-5,1.6027056267611033e-4,1.041657911829447e-4,1.1025745736020954e-4,1.4065779227741867e-4
135,32.931,-121.8645,1.266839507313306e-4,1.1956967398554158e-4,1.076906942109655e-4,2.0543852115666435e-5,8.208900818944345e-5,1.9115943674973117e-5,1.0734306591782098e-4,7.850065315598559e-5,1.0039187165346144e-4,1.0482661272027477e-4
136,17.0854,-118.8913,3.0683501507103815e-6,2.0039418766799844e-4,1.262071645962665e-4,2.580161745805717e-5,1.3888578749748202e-4,7.089426722858962e-6,1.7221491778568321e-4,1.217927337048136e-4,8.911379949558757e-5,2.2990919460397216e-5
137,14.2035,-116.6261,1.7031677045004845e-6,2.6980096284702254e-4,9.241477236172777e-5,1.3458398005909804e-5,1.5863571384248384e-4,3.5530915714761803e-5,2.31667543855134e-4,1.292493154006184e-4,1.4059536337796526e-4,4.733362801764747e-5
138,6.3332,-102.9432,3.817280900061645e-6,1.251582520880379e-4,1.4669934018891648e-4,1.608333968144874e-5,4.8815878830814944e-5,4.900859305836904e-6,3.682307300556246e-5,4.350544835811319e-6,6.171711841588118e-5,1.494543637811357e-5
